US-DIV00101,34.7,-87.3,AL,NORTHERN VALLEY
US-DIV00102,34.2,-86.5,AL,APPALACHIAN MOUNTAIN
US-DIV00103,33.5,-87.7,AL,UPPER PLAINS
US-DIV00104,33.7,-86.1,AL,EASTERN VALLEY
US-DIV00105,33,-85.8,AL,PIEDMONT PLATEAU
US-DIV00106,32.3,-87.2,AL,PRAIRIE
US-DIV00107,31.5,-86.8,AL,COASTAL PLAIN
US-DIV00108,30.7,-87.9,AL,GULF
US-DIV00201,35.7,-113.9,AZ,NORTHWEST
US-DIV00202,35.7,-110.5,AZ,NORTHEAST
US-DIV00203,34.6,-112.5,AZ,NORTH CENTRAL
US-DIV00204,33.7,-110.6,AZ,EAST CENTRAL
US-DIV00205,33.3,-114,AZ,SOUTHWEST
US-DIV00206,33.3,-112.1,AZ,SOUTH CENTRAL
US-DIV00207,32.2,-110.3,AZ,SOUTHEAST
US-DIV00301,36.2,-93.8,AR,NORTHWEST
US-DIV00302,35.9,-92.3,AR,NORTH CENTRAL
US-DIV00303,35.7,-91,AR,NORTHEAST
US-DIV00304,35.1,-93.9,AR,WEST CENTRAL
US-DIV00305,34.6,-92.7,AR,CENTRAL
US-DIV00306,34.7,-91.2,AR,EAST CENTRAL
US-DIV00307,33.8,-93.9,AR,SOUTHWEST
US-DIV00308,33.6,-92.8,AR,SOUTH CENTRAL
US-DIV00309,33.5,-91.6,AR,SOUTHEAST
US-DIV00401,40.5,-124,CA,NORTH COAST DRNG.
US-DIV00402,39.9,-121.7,CA,SACRAMENTO DRNG.
US-DIV00403,40.5,-120.5,CA,NORTHEAST INTER. BASINS
US-DIV00404,36.6,-121.4,CA,CENTRAL COAST DRNG.
US-DIV00405,37,-120,CA,SAN JOAQUIN DRNG.
US-DIV00406,34.2,-118.3,CA,SOUTH COAST DRNG.
US-DIV00407,35.1,-116.4,CA,SOUTHEAST DESERT BASINS
US-DIV00501,38.2,-103.7,CO,AR DRAINAGE BASIN
US-DIV00502,39.2,-107.7,CO,CO DRAINAGE BASIN
US-DIV00503,39.8,-102.4,CO,KS DRAINAGE BASIN
US-DIV00504,40.2,-104.3,CO,PLATTE DRAINAGE BASIN
US-DIV00505,37.6,-106,CO,RIO GRANDE DRNG. BASIN
US-DIV00601,41.8,-73.3,CT,NORTHWEST
US-DIV00602,41.6,-72.5,CT,CENTRAL
US-DIV00603,41.3,-72.7,CT,COASTAL
US-DIV00701,39.4,-75.8,DE,NORTHERN
US-DIV00702,38.7,-75.5,DE,SOUTHERN
US-DIV00801,30.5,-85.6,FL,NORTHWEST
US-DIV00802,30,-82.5,FL,NORTH
US-DIV00803,28.8,-81.8,FL,NORTH CENTRAL
US-DIV00804,27.5,-81.6,FL,SOUTH CENTRAL
US-DIV00805,26.3,-81.2,FL,EVERGLADES & SW COAST
US-DIV00806,26.1,-80.1,FL,LOWER EAST COAST
US-DIV00807,24.8,-81.1,FL,KEYS
US-DIV00901,34.4,-85.1,GA,NORTHWEST
US-DIV00902,34.2,-84.2,GA,NORTH CENTRAL
US-DIV00903,34.2,-83.2,GA,NORTHEAST
US-DIV00904,33,-84.7,GA,WEST CENTRAL
US-DIV00905,32.9,-83.4,GA,CENTRAL
US-DIV00906,32.9,-82.1,GA,EAST CENTRAL
US-DIV00907,31.4,-84.5,GA,SOUTHWEST
US-DIV00908,31.4,-83.3,GA,SOUTH CENTRAL
US-DIV00909,31.5,-81.9,GA,SOUTHEAST
US-DIV01001,48.2,-116.7,ID,PANHANDLE
US-DIV01002,46.4,-116.4,ID,NORTH CENTRAL PRAIRIES
US-DIV01003,46,-116.5,ID,NORTH CENTRAL CANYONS
US-DIV01004,45.2,-115.4,ID,CENTRAL MOUNTAINS
US-DIV01005,43.6,-116.7,ID,SOUTHWESTERN VALLEYS
US-DIV01006,42.4,-115.8,ID,SOUTHWESTERN HIGHLANDS
US-DIV01007,42.8,-114.2,ID,CENTRAL PLAINS
US-DIV01008,44.5,-113.5,ID,NORTHEASTERN VALLEYS
US-DIV01009,43.4,-112.7,ID,UPPER SNAKE RIVER PLAINS
US-DIV01010,42.8,-111.8,ID,EASTERN HIGHLANDS
US-DIV01101,41.8,-89.8,IL,NORTHWEST
US-DIV01102,41.8,-88.8,IL,NORTHEAST
US-DIV01103,40.5,-90.7,IL,WEST
US-DIV01104,40.5,-89.3,IL,CENTRAL
US-DIV01105,40.5,-88.1,IL,EAST
US-DIV01106,39.4,-90.1,IL,WEST SOUTHWEST
US-DIV01107,39.2,-88.3,IL,EAST SOUTHEAST
US-DIV01108,38,-89.6,IL,SOUTHWEST
US-DIV01109,37.9,-88.5,IL,SOUTHEAST
US-DIV01201,41.2,-86.9,IN,NORTHWEST
US-DIV01202,41.2,-86.1,IN,NORTH CENTRAL
